Year,Suicide Bombing,Assassination,Armed Assault,Bombing/Explosion,Hijacking,Barricade Incident,Kidnapping,Facility/Infrastructure Attack,Unarmed Assault,Unknown
1970,0,22,61,333,11,3,38,174,3,6
1971,0,70,44,238,6,1,20,88,0,3
1972,0,193,63,186,12,4,16,19,0,1
1973,0,164,62,149,8,7,43,36,3,1
1974,0,158,46,284,3,5,37,42,4,1
1975,0,181,81,370,1,13,27,64,0,3
1976,0,204,124,419,4,6,45,113,3,5
1977,0,146,255,635,7,13,67,182,0,14
1978,0,263,241,644,0,43,97,181,5,52
1979,0,526,447,1057,9,76,146,197,7,196
1980,0,618,574,997,14,50,140,170,2,98
1981,1,405,697,1081,18,34,122,150,3,74
1982,1,362,665,1124,8,50,105,148,3,79
1983,5,360,852,1241,8,26,124,142,2,110
1984,2,443,823,1773,21,29,77,162,7,157
1985,16,311,659,1466,15,55,116,138,5,134
1986,3,371,592,1503,4,27,96,141,6,117
1987,3,495,798,1473,2,26,99,120,4,164
1988,2,821,921,1648,9,16,109,151,5,39
1989,1,980,1120,1796,13,18,130,240,7,17
1990,2,877,876,1729,8,17,168,190,7,13
1991,2,730,1271,1986,25,16,222,353,14,64
1992,1,1111,1327,1737,24,22,142,473,48,188
1993,0,0,0,0,0,0,0,0,0,0
1994,10,771,818,1143,37,34,191,189,61,204
1995,19,729,740,772,30,13,141,297,108,232
1996,13,478,638,1204,23,15,155,216,23,291
1997,10,420,826,1113,16,3,299,140,25,348
1998,20,24,264,484,3,0,43,57,15,23
1999,22,61,368,630,6,6,113,114,37,39
2000,36,103,492,868,7,2,124,112,26,43
2001,47,127,581,755,15,4,145,148,41,45
2002,73,73,366,648,6,4,78,49,10,25
2003,82,86,312,596,3,2,46,88,20,27
2004,111,104,259,544,1,2,77,33,4,26
2005,208,225,510,856,2,0,120,46,6,38
2006,184,140,737,1318,3,7,201,107,15,39
2007,369,140,848,1496,7,6,223,116,6,30
2008,221,219,1093,2421,15,2,392,285,33,106
2009,159,227,1118,2406,23,4,279,349,19,137
2010,141,360,1114,2366,13,7,390,293,21,116
2011,169,342,1391,2418,9,2,361,242,20,113
2012,383,458,2081,4697,5,18,352,293,29,182
2013,592,845,2959,6077,17,26,628,555,38,253
2014,697,922,4087,8062,48,45,1396,764,37,782
2015,864,917,3353,6751,37,76,1175,682,96,855
