iyear,latitude,longitude,summary,crit1,crit2,crit3,attacktype1,gname,nkill
1990,33.888629,35.495479,No summary available,1,1,1,6,Unknown,0
1990,34.083658,74.797368,No summary available,1,1,1,3,Unknown,0
1990,34.093665,74.787832,No summary available,1,1,1,3,Unknown,0
1990,34.069935,74.793683,No summary available,1,1,1,3,Unknown,0
1990,-17.382789,-66.166439,No summary available,1,1,1,3,Alejo Calatayu,0
1990,14.23373675,-83.53885928,No summary available,1,1,1,1,Nicaraguan Resistance,2
1990,32.085688,34.783684,No summary available,1,1,1,1,Unknown,0
1990,-17.783219,-63.182042,No summary available,1,1,1,3,Unknown,0
1990,5.026003,-74.030012,No summary available,1,1,1,2,Revolutionary Armed Forces of Colombia (FARC),0
1990,,,No summary available,1,1,1,2,Shining Path (SL),0
1990,19.7,-100.4791667,No summary available,1,1,1,6,Democratic Revolutionary Party,0
1990,54.597269,-5.930109,No summary available,1,1,1,1,Irish Republican Army (IRA),1
1990,-8.872222,-77.893611,No summary available,1,1,1,7,Shining Path (SL),0
1990,,,No summary available,1,1,1,2,Shining Path (SL),0
1990,,,No summary available,1,1,1,7,Shining Path (SL),0
1990,10.032856,-69.263333,No summary available,1,1,1,3,Omar Torrijos Commando for Latin American Dignity,0
1990,31.522561,34.453593,No summary available,1,1,1,6,Palestinians,1
1990,32.11086,76.536253,No summary available,1,1,1,3,Sikh Extremists,3
1990,3.800889,-76.641271,No summary available,1,1,1,2,National Liberation Army of Colombia (ELN),3
1990,33.885229,35.63867,No summary available,1,1,0,3,Unknown,4
1990,6.052979,121.002479,No summary available,1,1,0,2,Moro National Liberation Front (MNLF),9
1990,54.755402,-6.606029,No summary available,1,1,0,1,Irish Republican Army (IRA),1
1990,31.766496,35.21172,No summary available,1,1,1,1,Unknown,0
1990,7.51008,124.371416,No summary available,1,1,1,1,Moro National Liberation Front (MNLF),3
1990,-33.469115,-70.641997,No summary available,1,1,1,7,Unknown,0
1990,-7.244488,-76.825965,No summary available,1,1,1,2,Shining Path (SL),3
1990,32.620832,35.55111,No summary available,1,1,0,2,Fatah Uprising,0
1990,-17.777883,-69.959507,No summary available,1,1,1,1,Shining Path (SL),2
1990,39.936667,46.832778,No summary available,1,1,1,3,Unknown,0
1990,32.696891,35.664265,No summary available,1,1,0,2,Fatah Uprising,0
1990,31.107153,74.976402,No summary available,1,1,1,2,Unknown,2
1990,7.48722,124.29917,No summary available,1,1,0,2,Moro National Liberation Front (MNLF),6
1990,6.270526,-75.572173,No summary available,1,1,1,1,Unknown,1
1990,18.102984,74.092428,No summary available,0,1,1,1,Unknown,1
1990,31.8186,75.2028,No summary available,0,1,1,1,Unknown,1
1990,15.065238,120.720051,No summary available,1,1,1,1,New People's Army (NPA),2
1990,,,No summary available,1,1,1,3,National Liberation Army of Colombia (ELN),0
1990,,,No summary available,1,1,1,3,Unknown,0
1990,34.286763,74.462401,No summary available,1,1,1,3,Unknown,0
1990,8.083272,-73.224495,No summary available,1,1,0,2,National Liberation Army of Colombia (ELN),1
1990,,,No summary available,1,1,0,2,National Liberation Army of Colombia (ELN),1
1990,7.894195,-72.503885,No summary available,1,1,1,2,National Liberation Army of Colombia (ELN),1
1990,8.511375,-73.446796,No summary available,1,1,1,2,National Liberation Army of Colombia (ELN),4
1990,8.946054,-74.106972,No summary available,1,1,1,2,National Liberation Army of Colombia (ELN),0
1990,32.410221,35.281722,No summary available,1,1,0,9,Palestinians,0
1990,8.946054,-74.106972,No summary available,1,1,1,6,National Liberation Army of Colombia (ELN),0
1990,54.467967,-6.337967,No summary available,1,1,1,1,Protestant Extremists,1
1990,4.5981,-74.07603,No summary available,1,1,1,3,The Extraditables,0
1990,3.420628,-76.522119,No summary available,1,1,1,2,National Liberation Army of Colombia (ELN),3
1990,4.5981,-74.07603,No summary available,1,1,1,3,Unknown,0
1990,,,No summary available,1,1,1,3,Unknown,0
1990,28.632381,77.220004,No summary available,1,1,1,3,Jammu and Kashmir Liberation Front,0
1990,34.205141,74.349494,No summary available,1,1,1,3,Unknown,0
1990,34.685087,135.805,No summary available,1,1,1,7,Nara Red Army,0
1990,8.50099,-75.50833,No summary available,1,1,1,2,Right-Wing Death Squad,7
1990,39.810998,46.751147,No summary available,1,1,1,2,Unknown,0
1990,8.42414,-76.786797,No summary available,1,0,1,1,Popular Liberation Army (EPL),7
1990,41.366667,9.266843,No summary available,1,1,1,3,Corsican National Liberation Front (FLNC),0
1990,41.366667,9.266843,No summary available,1,1,1,3,Corsican National Liberation Front (FLNC),0
1990,39.810998,46.751147,No summary available,1,1,1,3,Unknown,0
1990,32.759963,35.114601,No summary available,1,1,1,2,Unknown,0
1990,34.069935,74.793683,No summary available,1,1,1,7,Unknown,0
1990,32.726602,74.857026,No summary available,1,1,1,3,Unknown,0
1990,33.733336,75.148983,No summary available,1,1,1,7,Unknown,0
1990,34.286763,74.462401,No summary available,1,1,1,7,Unknown,0
1990,33.733336,75.148983,No summary available,1,1,1,2,Unknown,0
1990,35.011636,135.768029,No summary available,1,1,1,3,Chukakuha (Middle Core Faction),0
1990,35.685826,139.756684,No summary available,1,1,1,3,Chukakuha (Middle Core Faction),0
1990,-12.046378,-77.042791,No summary available,1,1,1,1,Shining Path (SL),2
1990,-7.189056,-79.5136,No summary available,1,1,1,1,Unknown,1
1990,31.522561,34.453593,No summary available,1,1,1,1,Palestinians,1
1990,30.996667,75.286389,No summary available,1,1,1,1,Sikh Extremists,2
1990,30.996667,75.286389,No summary available,1,1,1,1,Sikh Extremists,5
1990,34.083658,74.797368,No summary available,1,1,1,1,Sikh Extremists,1
1990,-8.838837,13.235582,No summary available,1,1,1,3,Unknown,0
1990,34.083658,74.797368,No summary available,1,1,1,7,Unknown,0
1990,34.083658,74.797368,No summary available,1,1,1,7,Unknown,0
1990,34.083658,74.797368,No summary available,1,1,1,7,Unknown,0
1990,-12.046378,-77.042791,No summary available,1,1,0,1,Shining Path (SL),1
1990,54.706718,-7.592867,No summary available,1,1,0,1,Irish Republican Army (IRA),1
1990,54.706718,-7.592867,No summary available,1,1,1,3,Irish Republican Army (IRA),0
1990,25.559797,81.485565,No summary available,1,1,1,1,Unknown,1
1990,-8.18885,-76.510838,No summary available,1,1,0,2,Shining Path (SL),6
1990,,,No summary available,1,1,1,2,Uganda People's Army,9
1990,34.083658,74.797368,No summary available,1,1,1,2,Unknown,1
1990,9.30535,-75.3978,No summary available,1,1,1,6,Popular Liberation Army (EPL),0
1990,6.270526,-75.572173,No summary available,1,1,1,6,The Extraditables,0
1990,6.270526,-75.572173,No summary available,1,1,1,6,Unknown,0
1990,8.292798,-73.385133,No summary available,1,1,1,6,National Liberation Army of Colombia (ELN),0
1990,-15.644251,-74.078478,No summary available,1,1,1,1,Shining Path (SL),9
1990,31.326015,75.576183,No summary available,1,1,1,1,Sikh Extremists,3
1990,14.965546,120.632488,No summary available,1,1,1,1,New People's Army (NPA),1
1990,8.5922,81.196796,No summary available,1,1,1,1,Liberation Tigers of Tamil Eelam (LTTE),1
1990,-34.6037,-58.381503,No summary available,1,1,1,3,Unknown,0
1990,-15.644251,-74.078478,No summary available,1,1,1,3,Shining Path (SL),0
1990,-15.644251,-74.078478,No summary available,1,1,1,3,Shining Path (SL),0
1990,54.597269,-5.930109,No summary available,1,1,0,3,Irish Republican Army (IRA),0
1990,54.597269,-5.930109,No summary available,1,1,1,3,Irish Republican Army (IRA),0
1990,52.229676,21.012229,No summary available,1,1,1,3,Unknown,0
1990,6.270526,-75.572173,No summary available,1,1,0,2,Narco-Terrorists,2
1990,-12.068306,-75.210163,No summary available,1,1,1,1,Shining Path (SL),2
1990,54.842824,-6.667731,No summary available,1,1,0,1,Irish Republican Army (IRA),0
1990,-16.500194,-68.150162,No summary available,1,1,1,3,Zarate Willka Armed Forces of Liberation,0
1990,-12.068306,-75.210163,No summary available,1,1,1,3,Shining Path (SL),0
1990,-11.161067,-75.99309,No summary available,1,1,1,3,Shining Path (SL),0
1990,43.256963,-2.923441,No summary available,1,1,1,3,Basque Fatherland and Freedom (ETA),0
1990,,,No summary available,1,1,1,5,New People's Army (NPA),0
1990,14.624422,-90.53288,No summary available,1,1,1,6,Death Squad,2
1990,-13.6575,-73.383333,No summary available,1,1,1,1,Shining Path (SL),2
1990,7.301756,81.67473,No summary available,1,1,1,1,Liberation Tigers of Tamil Eelam (LTTE),4
1990,18.380782,-65.957387,"1/12/1990: In a series of two related attacks, members of the Pedro Albizu Campos Revolutionary Forces bombed the Westinghouse Electric Supply Company in Carolina, Puerto Rico.  There were no casualties but the building sustained $3,500 in damages.",1,1,1,3,Pedro Albizu Campos Revolutionary Forces,0
1990,18.448144,-66.064197,"1/12/1990: In a series of two related attacks, members of the Pedro Albizu Campos Revolutionary Forces bombed the United States Navy Recruiting Office in Santurce, Puerto Rico.  There were no casualties but the building sustained $5,000 in damages.",1,1,1,3,Pedro Albizu Campos Revolutionary Forces,0
1990,-19.833307,34.849994,No summary available,1,1,1,3,Mozambique National Resistance Movement (MNR),0
1990,,,No summary available,1,1,1,3,Mozambique National Resistance Movement (MNR),0
1990,22.798224,91.988153,No summary available,1,1,0,2,Shanti Bahini - Peace Force,12
1990,-33.469115,-70.641997,No summary available,1,1,1,3,Manuel Rodriguez Patriotic Front (FPMR),0
1990,-33.024705,-71.552216,No summary available,1,1,1,3,Manuel Gonzales Patriotic Front,0
1990,34.438094,35.830837,No summary available,1,1,1,3,Unknown,0
1990,34.438094,35.830837,No summary available,1,1,1,3,Unknown,1
1990,34.438094,35.830837,No summary available,1,1,1,3,Unknown,0
1990,42.697495,9.450172,No summary available,1,1,1,5,Corsican National Liberation Front (FLNC),0
1990,32.335509,35.03554,No summary available,1,1,1,6,Unknown,1
1990,9.00412,80.571145,No summary available,1,1,1,6,Liberation Tigers of Tamil Eelam (LTTE),0
1990,10.416624,-73.583511,No summary available,1,1,1,6,Narco-Terrorists,42
1990,6.872751,81.35066,No summary available,1,1,1,1,People's Liberation Front (JVP),5
1990,7.488566,80.365159,No summary available,1,1,1,1,Unknown,3
1990,7.2565,80.721442,No summary available,1,1,1,1,Vigilante Group,8
1990,,,No summary available,1,1,1,1,Unknown,0
1990,34.438094,35.830837,No summary available,1,1,0,3,Unknown,2
1990,39.920781,32.852153,No summary available,1,1,1,3,Hezbollah,0
1990,-10.847674,14.366217,No summary available,1,1,1,3,National Union for the Total Independence of Angola (UNITA),0
1990,16.687778,98.508333,No summary available,1,1,1,3,Karen Insurgents,2
1990,-13.112405,-74.099228,No summary available,1,1,1,2,Shining Path (SL),39
1990,31.766496,35.21172,No summary available,1,1,0,1,Palestinians,0
1990,34.083658,74.797368,No summary available,1,1,1,1,Jammu and Kashmir Liberation Front,2
1990,-12.046378,-77.042791,No summary available,1,1,0,3,Tupac Amaru Revolutionary Movement (MRTA),0
1990,54.788077,-7.47303,No summary available,1,1,0,3,Irish Republican Army (IRA),0
1990,54.788077,-7.47303,No summary available,1,1,1,3,Irish Republican Army (IRA),0
1990,-19.833307,34.849994,No summary available,1,1,1,3,Mozambique National Resistance Movement (MNR),0
1990,-20.06402,30.15885,No summary available,1,1,1,3,Mozambique National Resistance Movement (MNR),0
1990,,,No summary available,1,1,1,3,Mozambique National Resistance Movement (MNR),0
1990,7.243889,-76.435556,No summary available,1,1,1,2,Popular Liberation Army (EPL),4
1990,36.480453,2.83388,No summary available,1,1,1,2,Muslim Fundamentalists,3
1990,-6.315071,155.495276,No summary available,1,1,1,2,Unknown,1
1990,-11.785463,-75.42641,No summary available,1,1,1,1,Shining Path (SL),2
1990,-10.937096,-77.103134,No summary available,1,1,1,1,Shining Path (SL),2
1990,-11.124722,-75.356944,No summary available,1,1,1,1,Shining Path (SL),2
1990,-11.270556,-75.699444,No summary available,1,1,1,1,Shining Path (SL),3
1990,-11.474995,-75.958661,No summary available,1,1,1,1,Shining Path (SL),2
1990,51.248429,-0.755979,No summary available,1,1,0,1,Irish Republican Army (IRA),0
1990,51.248429,-0.755979,No summary available,1,1,0,1,Irish Republican Army (IRA),0
1990,34.083658,74.797368,No summary available,1,1,1,1,Hizbul Mujahideen (HM),1
1990,-13.306004,-72.115583,No summary available,1,1,1,3,Shining Path (SL),0
1990,43.052649,-3.001022,No summary available,1,1,1,3,Basque Fatherland and Freedom (ETA),0
1990,-6.228251,155.565903,No summary available,1,1,1,2,Unknown,7
1990,-6.315071,155.495276,No summary available,1,1,1,2,Unknown,0
1990,31.522561,34.453593,No summary available,1,1,1,1,Palestinians,1
1990,6.951779,125.097475,No summary available,1,1,0,1,New People's Army (NPA),3
1990,-16.500194,-68.150162,No summary available,1,1,1,3,Unknown,0
1990,54.597269,-5.930109,No summary available,1,1,1,3,Irish Republican Army (IRA),0
1990,33.708988,73.053857,No summary available,1,1,1,3,Unknown,0
1990,-22.253672,35.111042,No summary available,1,1,1,2,Mozambique National Resistance Movement (MNR),19
1990,-5.759613,155.117992,No summary available,1,1,1,2,Unknown,0
1990,31.252973,34.791462,No summary available,1,1,1,6,Unknown,0
1990,-13.2093,-76.156198,No summary available,1,1,1,1,Shining Path (SL),1
1990,32.750286,129.877667,No summary available,1,1,1,1,Seikijuku,0
1990,24.893379,67.028061,No summary available,1,1,1,1,Unknown,1
1990,25.377846,68.346304,No summary available,1,1,1,1,Unknown,2
1990,-6.158372693,155.3822123,No summary available,1,1,1,1,Unknown,0
1990,7.51008,124.371416,No summary available,1,1,1,1,Moro National Liberation Front (MNLF),2
1990,7.000556,-72.108333,No summary available,1,1,1,3,National Liberation Army of Colombia (ELN),0
1990,14.596051,120.978666,No summary available,1,1,1,3,New People's Army (NPA),0
1990,,,No summary available,1,1,1,2,Sikh Extremists,7
1990,8.113786,123.897734,No summary available,1,1,1,2,New People's Army (NPA),2
1990,7.301756,81.67473,No summary available,1,1,1,6,People's Liberation Front (JVP),1
1990,6.842761,81.339941,No summary available,1,1,1,2,People's Liberation Front (JVP),4
1990,7.29384,80.640669,No summary available,1,1,1,2,People's Liberation Front (JVP),5
1990,32.974218,35.23297,No summary available,1,1,1,1,Palestinians,0
1990,8.240043,124.244766,No summary available,1,1,1,1,New People's Army (NPA),1
1990,32.163778,34.979461,No summary available,1,1,1,3,Palestinians,0
1990,34.083658,74.797368,No summary available,1,1,1,3,Unknown,0
1990,-6.7465,155.685171,No summary available,1,1,1,7,Bougainville Revolutionary Army (BRA),0
1990,-6.7465,155.685171,No summary available,1,1,1,7,Bougainville Revolutionary Army (BRA),0
1990,54.192934,-6.576051,No summary available,1,1,1,3,Irish Republican Army (IRA),0
1990,31.766496,35.21172,No summary available,1,1,1,9,Palestinians,0
1990,6.68117,-75.219285,No summary available,1,1,1,2,Unknown,12
1990,31.349998,34.299627,No summary available,1,1,1,1,Palestinians,1
1990,,,No summary available,1,1,1,2,Shining Path (SL),3
1990,-6.228251,155.565903,No summary available,1,1,1,7,Bougainville Revolutionary Army (BRA),0
1990,14.596051,120.978666,No summary available,1,1,1,3,New People's Army (NPA),0
1990,9.66123,80.02558,No summary available,1,1,0,3,Liberation Tigers of Tamil Eelam (LTTE),8
1990,54.767773,-7.251106,No summary available,1,1,0,3,Irish Republican Army (IRA),0
1990,31.912559,35.221715,No summary available,1,1,1,2,Palestinians,0
1990,9.798238,80.089809,No summary available,1,1,0,2,Liberation Tigers of Tamil Eelam (LTTE),0
1990,31.896573,35.170388,No summary available,1,1,1,1,Palestinians,1
1990,-34.6037,-58.381503,No summary available,1,1,1,3,Unknown,0
1990,-34.6037,-58.381503,No summary available,1,1,1,3,Unknown,0
1990,54.597269,-5.930109,No summary available,1,1,1,3,Irish Republican Army (IRA),0
1990,32.22626,35.260741,No summary available,1,1,1,2,Palestinians,0
1990,35.685826,139.756684,No summary available,1,1,1,2,Chukakuha (Middle Core Faction),0
1990,35.685826,139.756684,No summary available,1,1,1,2,Chukakuha (Middle Core Faction),0
1990,35.685826,139.756684,No summary available,1,1,1,2,Chukakuha (Middle Core Faction),0
1990,35.685826,139.756684,No summary available,1,1,1,2,Chukakuha (Middle Core Faction),0
1990,35.685826,139.756684,No summary available,1,1,1,2,Chukakuha (Middle Core Faction),0
1990,35.685826,139.756684,No summary available,1,1,1,2,Chukakuha (Middle Core Faction),0
1990,35.685826,139.756684,No summary available,1,1,1,2,Chukakuha (Middle Core Faction),0
1990,16.912033,-90.299578,No summary available,1,1,0,2,Guatemalan National Revolutionary Unity (URNG),0
1990,16.912033,-90.299578,No summary available,1,1,0,2,Guatemalan National Revolutionary Unity (URNG),0
1990,,,No summary available,1,1,0,2,Guatemalan National Revolutionary Unity (URNG),0
1990,,,No summary available,1,1,0,2,Guatemalan National Revolutionary Unity (URNG),0
1990,16.912033,-90.299578,No summary available,1,1,1,2,Guatemalan National Revolutionary Unity (URNG),0
1990,54.347539,-6.656108,No summary available,1,1,1,1,Irish Republican Army (IRA),1
1990,32.405153,35.201806,No summary available,1,1,1,1,Popular Front for the Liberation of Palestine (PFLP),1
1990,-6.220475,155.63763,No summary available,0,1,1,1,Unknown,2
1990,16.912033,-90.299578,No summary available,1,1,1,3,Guatemalan National Revolutionary Unity (URNG),0
1990,-5.874771,155.202988,No summary available,1,1,1,2,Bougainville Revolutionary Army (BRA),0
1990,13.69288,-89.199161,No summary available,1,1,1,1,Farabundo Marti National Liberation Front (FMLN),0
1990,-6.232373,155.650803,No summary available,1,1,1,3,Bougainville Revolutionary Army (BRA),0
1990,32.446478,35.170372,No summary available,1,1,1,6,Palestinians,1
1990,31.633979,74.872264,No summary available,1,1,1,1,Unknown,1
1990,-6.315071,155.495276,No summary available,1,1,1,1,Bougainville Revolutionary Army (BRA),1
1990,54.597269,-5.930109,No summary available,1,1,1,3,Irish Republican Army (IRA),0
1990,41.014061,28.960465,No summary available,1,1,1,3,Unknown,1
1990,-33.469115,-70.641997,No summary available,1,1,1,2,United Popular Action Movement,0
1990,13.6769444,-89.2797222,No summary available,1,1,1,2,Farabundo Marti National Liberation Front (FMLN),2
1990,7.074044,125.616549,No summary available,1,1,1,3,New People's Army (NPA),0
1990,7.074044,125.616549,No summary available,1,1,1,3,New People's Army (NPA),0
1990,7.074044,125.616549,No summary available,1,1,1,3,New People's Army (NPA),0
1990,7.074044,125.616549,No summary available,1,1,1,3,New People's Army (NPA),0
1990,27.186702,56.281669,No summary available,1,1,1,4,Unknown,4
1990,-13.163874,-74.223564,No summary available,1,1,1,1,Shining Path (SL),1
1990,34.083658,74.797368,No summary available,1,1,0,2,Muslim Militants,4
1990,8.43557,-73.28742,No summary available,1,1,1,3,National Liberation Army of Colombia (ELN),0
1990,-11.792588,19.906596,No summary available,1,1,1,3,Unknown,0
1990,-11.792588,19.906596,No summary available,1,1,1,3,Unknown,0
1990,-11.792588,19.906596,No summary available,1,1,1,3,Unknown,0
1990,-12.175074,-76.983766,No summary available,1,1,1,1,Shining Path (SL),3
1990,-6.158372693,155.3822123,No summary available,1,1,1,2,Unknown,0
1990,7.054867,124.67262,No summary available,1,1,1,2,Moro National Liberation Front (MNLF),1
1990,54.755402,-6.606029,No summary available,1,1,1,1,Irish Republican Army (IRA),0
1990,14.596051,120.978666,No summary available,1,1,1,1,New People's Army (NPA),1
1990,54.317811,-7.536546,No summary available,1,1,1,3,Irish Republican Army (IRA),0
1990,,,No summary available,1,1,1,3,Basque Fatherland and Freedom (ETA),0
1990,33.888629,35.495479,No summary available,1,1,1,3,Unknown,0
1990,33.888629,35.495479,No summary available,1,1,1,3,Unknown,0
1990,,,No summary available,1,1,1,2,Shining Path (SL),18
1990,-13.163874,-74.223564,No summary available,1,1,1,1,Shining Path (SL),1
1990,35.842423,71.362937,No summary available,1,1,1,1,Unknown,1
1990,31.522561,34.453593,No summary available,1,1,1,1,Palestinians,1
1990,31.349998,34.299627,No summary available,1,1,1,1,Palestinians,0
1990,8.5922,81.196796,No summary available,1,1,1,1,Liberation Tigers of Tamil Eelam (LTTE),1
1990,54.99451,-7.319996,No summary available,1,1,0,3,Irish Republican Army (IRA),1
1990,54.600305,-7.298402,No summary available,1,1,1,3,Irish Republican Army (IRA),0
1990,34.009667,71.579994,No summary available,1,1,1,3,Unknown,0
1990,34.009667,71.579994,No summary available,1,1,0,3,Unknown,0
1990,24.893379,67.028061,No summary available,1,1,1,3,Unknown,0
1990,-13.625833,-72.291389,No summary available,1,1,1,1,Shining Path (SL),6
1990,-9.451889,-77.176555,No summary available,1,1,1,1,Shining Path (SL),1
1990,-13.163874,-74.223564,No summary available,1,1,1,1,Shining Path (SL),5
1990,-5.988152,-79.74739,No summary available,1,1,1,1,Shining Path (SL),1
1990,33.272157,35.203278,No summary available,1,1,1,1,Unknown,0
1990,2.953732,32.935315,No summary available,1,1,1,1,Unknown,1
1990,22.938589,92.184329,No summary available,1,1,1,1,Shanti Bahini - Peace Force,6
1990,-32.880343,-71.249811,No summary available,1,1,1,3,Unknown,0
1990,34.35946,73.468877,No summary available,1,1,1,3,Unknown,1
1990,16.41639,120.59306,No summary available,1,1,1,2,Unknown,0
1990,6.908868,122.0772,No summary available,1,1,1,4,Moro National Liberation Front (MNLF),5
1990,15.9129,79.739988,No summary available,1,1,1,6,Naxalites,0
1990,7.414383,81.830633,No summary available,1,0,1,6,Liberation Tigers of Tamil Eelam (LTTE),0
1990,-13.163874,-74.223564,No summary available,1,1,1,1,Shining Path (SL),5
1990,-12.061647,-75.287826,No summary available,1,1,1,1,Shining Path (SL),1
1990,43.230556,-2.845833,No summary available,1,1,1,1,Basque Fatherland and Freedom (ETA),1
1990,30.05,31.25,No summary available,1,1,1,1,Muslim Fundamentalists,0
1990,39.920781,32.852153,No summary available,1,1,1,1,Islamic Movement Organization,1
1990,41.014061,28.960465,No summary available,1,1,1,1,Dev Sol,1
1990,-29.75086,30.983353,No summary available,1,1,1,1,Unknown,1
1990,-29.684008,30.932428,No summary available,1,1,1,1,Unknown,2
1990,-29.767645,30.913095,No summary available,1,1,1,1,Unknown,0
1990,7.362095,81.803617,No summary available,1,1,1,1,Liberation Tigers of Tamil Eelam (LTTE),0
1990,29.729316,-95.433578,"1/30/1990: Unknown perpetrators sent a mail bomb to Lakewood Church in Houston, Texas, United States.  The package was addressed to John Osteen, the pastor of the church.  The device detonated when Lisa Osteen, the pastor's daughter, opened the package.  She was wounded but survived her injuries.",1,1,1,3,Unknown,0
